ID, Label
Gerard Barbot,ABC
Hans Ruedi Fricker,ABC
Robin Crozier,ABC
Ryosuke Cohen,ABC
Vittore Baroni,ABC
John Held Jr.,ABC
Anna Banana,AC
Guy Bleus,AC
Pat Larter,AC
Johnny Tostdada,AC
Ray Johnson,AC
Richard Canard,AC
Dorothy Harris,BC
Carlo Pittore,BC
Carol Schneck,AC
Clemente Padin,AC
Geza Perneczky,BC
John M. Bennett,BC
Badhuin Simon,BC
Luce Fierens,BC
Jose Vandenbroucke,BC
A. 1. Waste Paper Co. Ltd.,BC
Joachim Strange,A
Edgardo Vigo,A
Svjetlana Mimica,A
Rea Nikonova,A
Tony Lowes,A
Elizabeth Was,A
Ben Vautier,A
Leonhard Frank Duch,A
Laura MacCarthy,A
Cesar Espinosa and Colectivo 3,A
Graciela G. Marx,A
Angela and Peter,A
Buster Cleveland,A
John Evans,A
Tod Jorgenssen,A
Robert Ebendorf,A
Louis Bailey,A
David Geiger,A
HICO,A
David Bourdon,A
Michael Leigh,A
Lenore Tawney,A
Maryette Charlton,A
Robert Morilla,A
Kirk Winslow,A
Helen DeMott,A
Sam Wagstaff,A
John Baldessari,A
Lucy Lippard,A
Wallace Berman,A
Shirley Berman,A
Leslie Caldera,A
Jay DeFeo,A
Blaster Al Ackerman,A
Unknown sender,A
Richard Meltzer,A
Billy Al Bengston,A
Richard Tuttle,A
Samuel J. Wagstaff,A
Bay Area Dadaists,A
Lillian Olinsey Kiesler,A
unidentified recipients,A
Felix Partz,A
George Brecht,A
Miguel Cubiles,A
Ramon Carulla,A
Dr. Frye and Lucy Lippard,A
Les Petites Bons-bons,A
Joseph Kosuth,A
Giulio V. Blanc,A
Al Ackerman,B
Matteo Cagnola,B
Anna Boschi,B
Institute of Fatuous Research,B
Franceso Vidal,B
FaGaGaGa,B
Delux,B
Nunzio,B
Maggot-Factory,B
Wall-Ter,B
Nancy Griswold,B
Sticker Dude,B
Haddock,B
Societe anonyme,B
Anja V. D. Wege,B
Daniel Mark Graham,B
Josef Hampl,B
Chelsea Warren,B
Michael Basinski,B
Ever Arts,B
Michal Graczyk,B
Gene Elder,B
Ficus Strangulensis,B
Geert de Decker,B
Carlos Montes de Oca,B
John Hopkins,B
Ira Director,B
Konrad,B
Josiane Dufault,B
Sylvain Houcke,B
V. Racer,B
Linda Winnes,B
Michael Fox,B
V. Hamann,B
Philippe Roussel,B
Hubadubarubba,B
Baron,B
Takayo,B
Kathleen Cherry,B
Eve Champagne,B
Katia Racine,B
Doc Vinci,B
Frederic Decary,B
Sebastien Bouthot,B
J. Michael Mollohan,B
Marie-Josee Silvaggio,B
Catherine Massoures,B
Amelia Etlinger,B
Eric J. Carpenter,B
Karl C. Gay,B
Robert J. Bertholf,B
Ingrid Swine,B
M. Chevrette,B
Ragged Edge Press,B
Perpetual Motion,B
Ombre de l'erreur,B
Don Morgan,B
Anastasia Anesthesia,B
Mumbles,B
Rocola,B
Rochelle Thompson,B
Bill Fornof,B
Zav Albatroz,B
State of Being,B
Paghat the Ratgirl,B
Dopesick SF,B
BoscoGraphix,B
Cornpuff,B
Elaine Gossamer,B
Midnight,B
B. J. Tisa,B
K. Champlin,B
Arturo Giuseppe Fallico,B
Nicol A. Kostic,B
David Forcier,B
Genevieve Garneau,B
Edward F. (E. F.) Higgins,C
Stamp Art Gallery,C
Harley,C
Bill Gaglione,C
Luis Catriel,C
Ruggero Maggi,C
Darlene Altschul,C
Melissa Jay Craig,C
Masumi Hayashi,C
Fred Mertz,C
Gary Hay,C
Lisa Isaacson,C
Johan van Geluwe,C
Jim Tucker,C
School of the Art Institute of Chicago,C
Gerald Jupitter-Larsen,C
Klaus Groh,C
Visual Poetry-Project,C
Eiichi Matsuhashi,C
Jeffrey Dixon,C
Kathlyn Moss,C
Stampland,C
Nick & Nora Charles,C
Jim Racchi,C
Frank Fleming,C
S. Judson Wilcox,C
Mallory Moad,C
Beth Jacobson,C
Keiichi Nakamura,C
Rade Milinkovic,C
Allen Bukoff,C
Goran Dordevic,C
Igor Durisin,C
Jean-Marc Rastorfer,C
Stamp Francisco,C
Tohei Horiike,C
Geoffrey Hendricks,C
Greg Fiorini,C
Peter Below,C
Dobrica Kamperelic,C
Fast Eyes,C
Tampon De Collage,C
Densie Colletti,C
Darlene Domel,C
Renee Mandel,C
Inch By Inch,C
Gray Matters,C
Kaleidoscope,C
John Eberly,C
Edith Abeyta,C
Martin Raul Eckmeyer,C
Lloyd Productions,C
Jacinto Garcia,C
Graciela Gutierrez Marx,C
Russel Butler,C
Victor Jara,C
Magyar Fotografiai Muzeum,C
Artpool Archivum,C
Jocelyn Cazier,C
Judith Lomax,C
Tapio Holopainen,C
Lawton Gallery,C
Fernand Barbot,C
John Rininger,C
Chuck Welch,BC
Bobbie Boschan,C
Claudine Barbot,C
Effie Mihopoulos,C
Cesar Reglero Campos,C
Dmitry Babenko,C
Emilio Morandi,C
Dawn,C
Laurel Hall,C
Henry Denander,C
Alexis Bracho,C
Rick Banning,C
Tim Mancusi,C
Solamito Luigino,C
Kate Burroughs,C
Neal Taylor,C
Gary Bloomer,C
Arto Posto,C
Lothar Trott,C
Bubbha Baba Mama Dada Dan,C
Madelyn Starbuck,C
Dennis Jordan,C
Jo-Anne Echevarria Myers,C
Beau Geste Press,C
Rice Freeman-Zachery,C
Karen Buenneke,C
Diana Mars,C
Linda Boynton Lynch,C
Lancillotto Bellini,C
Mark Bloch,C
Hans Braumuller,C
Guido Bondioli,C
Jake Berry,C
Dao Badao,C
Laura Brewer,C
Carolyn Berry,C
Kum Nam Baik,C
Mary Jo Bruce,C
Kathie Brooks,C
Nina Bogin,C
Shelley Brewer,C
Bertsch,C
Paul Dion,C
Kelly Brown,C
Dennis Baldwin,C
Amy Bowling,C
Roger Braddy,C
Sally Alatalo,C
Borneo,C
Keith Bates,C
R. Barnes,C
Phyllis Berker,C
Jessie Affelder,C
Gillian Curran,C
Consultant to the Bag Lady,C
Jan Davis,C
Curmudgeon,C
Consultant to the Curmudgeon,C
Russell Bloch,C
Chambers,C
Salome,C
Marilyn Caponetti,C
Judy Dennis,C
Marilyn Ellison,C
Ed Kinsey,C
Shirley Ende-Saxe,C
Daniel Daligand,C
Ginny Carter,C
Toni Cox,C
Ona Doddle,C
Thuree Dee,C
Cristina Duchaump,C
Brian Callahan,C
But Is It Art?,C
Donna Gellman,C
Norma Bellin,C
Doro Boehme,C
Elgin Bolling,C
Richard Craven,C
Joan Coderre,C
Gabriele Castelli,C
Marcello Diotallevi,C
Consultant Laureate,C
Guillermo Deisler,C
The World Works,C
Carlo Desiro,C
Afungusboy,C
Lily Scholes,C
Mark Corroto,C
Susan Farm-Heumann,C
Julie Paquette,C
Lee Strauss,C
Jean Spiroux,C
Tina Tucker,C
#2 St. Louis Rubber Stamper,C
Stamp Magazine,C
Walt Evans,C
Harpo Esperanto,C
