Sender,Addressee,Source
Edward F. (E. F.) Higgins,Stamp Art Gallery,C
Harley,Bill Gaglione,C
Luis Catriel,Bill Gaglione,C
Ruggero Maggi,Bill Gaglione,C
Luis Catriel,Bill Gaglione,C
Darlene Altschul,Dorothy Harris,C
Ryosuke Cohen,Melissa Jay Craig,C
Masumi Hayashi,Melissa Jay Craig,C
Fred Mertz,Melissa Jay Craig,C
Masumi Hayashi,Gary Hay,C
Lisa Isaacson,Melissa Jay Craig,C
Lisa Isaacson,Gary Hay,C
Johan van Geluwe,Melissa Jay Craig,C
Jim Tucker,Gary Hay,C
School of the Art Institute of Chicago,Melissa Jay Craig,C
Jim Tucker,Gary Hay,C
Gerald Jupitter-Larsen,Bill Gaglione,C
Luis Catriel,Bill Gaglione,C
Klaus Groh,Bill Gaglione,C
Klaus Groh,Visual Poetry-Project,C
Eiichi Matsuhashi,Bill Gaglione,C
Eiichi Matsuhashi,Stamp Art Gallery,C
Anna Banana,Bill Gaglione,C
Jeffrey Dixon,John Held Jr.,C
Jeffrey Dixon,Stamp Art Gallery,C
Kathlyn Moss,Bill Gaglione,C
Kathlyn Moss,Stampland,C
Harley,Bill Gaglione,C
Nick & Nora Charles,Melissa Jay Craig,C
Jim Racchi,Melissa Jay Craig,C
Jim Racchi,Gary Hay,C
Frank Fleming,Melissa Jay Craig,C
S. Judson Wilcox,Melissa Jay Craig,C
S. Judson Wilcox,Gary Hay,C
Gerald Jupitter-Larsen,Bill Gaglione,C
Mallory Moad,Bill Gaglione,C
Mallory Moad,Stamp Art Gallery,C
Anna Banana,Bill Gaglione,C
Beth Jacobson,Bill Gaglione,C
Beth Jacobson,Stamp Art Gallery,C
Robin Crozier,John Held Jr.,C
Robin Crozier,Bill Gaglione,C
Robin Crozier,Stamp Art Gallery,C
Anna Banana,Bill Gaglione,C
Keiichi Nakamura,Bill Gaglione,C
Rade Milinkovic,Bill Gaglione,C
Allen Bukoff,Bill Gaglione,C
Allen Bukoff,Stamp Art Gallery,C
Goran Dordevic,Bill Gaglione,C
Igor Durisin,Bill Gaglione,C
Ryosuke Cohen,Bill Gaglione,C
Ryosuke Cohen,Bill Gaglione,C
Ryosuke Cohen,Stampland,C
Harley,Bill Gaglione,C
Luce Fierens,Bill Gaglione,C
Luce Fierens,John Held Jr.,C
Luce Fierens,Stamp Art Gallery,C
Richard Canard,Bill Gaglione,C
Jean-Marc Rastorfer,Bill Gaglione,C
Harley,Bill Gaglione,C
Harley,Stamp Francisco,C
Klaus Groh,Bill Gaglione,C
Tohei Horiike,Bill Gaglione,C
Allen Bukoff,Stamp Art Gallery,C
Ruggero Maggi,Stamp Art Gallery,C
Geoffrey Hendricks,Bill Gaglione,C
Greg Fiorini,Bill Gaglione,C
Greg Fiorini,Stamp Francisco,C
Peter Below,Bill Gaglione,C
Peter Below,Anna Banana,C
Harley,Bill Gaglione,C
Harley,Stamp Francisco,C
Dobrica Kamperelic,Bill Gaglione,C
Dobrica Kamperelic,Stamp Art Gallery,C
Dobrica Kamperelic,Bill Gaglione,C
Dobrica Kamperelic,Stamp Art Gallery,C
Fast Eyes,Tampon De Collage,C
Fast Eyes,Stamp Art Gallery,C
Klaus Groh,Bill Gaglione,C
Klaus Groh,Anna Banana,C
Densie Colletti,Bill Gaglione,C
Densie Colletti,Darlene Domel,C
Densie Colletti,Stampland,C
Peter Below,Bill Gaglione,C
Renee Mandel,Darlene Domel,C
Renee Mandel,Stampland,C
Jeffrey Dixon,John Held Jr.,C
Jeffrey Dixon,Stamp Art Gallery,C
Vittore Baroni,Bill Gaglione,C
Vittore Baroni,Stampland,C
Inch By Inch,Dorothy Harris,C
Gray Matters,Dorothy Harris,C
Kaleidoscope,Dorothy Harris,C
John Eberly,Dorothy Harris,C
Edith Abeyta,Bill Gaglione,C
Edith Abeyta,Stampland,C
Harley,Bill Gaglione,C
Anna Banana,Bill Gaglione,C
Martin Raul Eckmeyer,Bill Gaglione,C
Martin Raul Eckmeyer,Lloyd Productions,C
Allen Bukoff,Bill Gaglione,C
Allen Bukoff,Stamp Art Gallery,C
Anna Banana,Bill Gaglione,C
Jacinto Garcia,Bill Gaglione,C
Jacinto Garcia,Stamp Art Gallery,C
Dobrica Kamperelic,Bill Gaglione,C
Dobrica Kamperelic,Stamp Art Gallery,C
Luce Fierens,Bill Gaglione,C
Luce Fierens,John Held Jr.,C
Luce Fierens,Stamp Art Gallery,C
Graciela Gutierrez Marx,Bill Gaglione,C
Pat Larter,Bill Gaglione,C
Goran Dordevic,Bill Gaglione,C
Anna Banana,Bill Gaglione,C
Allen Bukoff,Bill Gaglione,C
Allen Bukoff,Stamp Art Gallery,C
Russel Butler,Bill Gaglione,C
Victor Jara,Bill Gaglione,C
Victor Jara,Anna Banana,C
Mallory Moad,Bill Gaglione,C
Mallory Moad,Stamp Art Gallery,C
Magyar Fotografiai Muzeum,Bill Gaglione,C
Magyar Fotografiai Muzeum,Stamp Art Gallery,C
Klaus Groh,Bill Gaglione,C
Klaus Groh,Anna Banana,C
Klaus Groh,Bill Gaglione,C
Harley,Darlene Domel,C
Harley,Bill Gaglione,C
Gerald Jupitter-Larsen,Bill Gaglione,C
Pat Larter,Bill Gaglione,C
Pat Larter,Anna Banana,C
Peter Below,Bill Gaglione,C
Peter Below,Anna Banana,C
Anna Banana,Bill Gaglione,C
Beth Jacobson,Bill Gaglione,C
Harley,Bill Gaglione,C
Ryosuke Cohen,Bill Gaglione,C
Anna Banana,Bill Gaglione,C
Luis Catriel,Bill Gaglione,C
Edward F. (E. F.) Higgins,Bill Gaglione,C
Artpool Archivum,Bill Gaglione,C
Artpool Archivum,Stamp Art Gallery,C
Anna Banana,Bill Gaglione,C
Peter Below,Bill Gaglione,C
John M. Bennett,Dorothy Harris,C
Jocelyn Cazier,Bill Gaglione,C
Jocelyn Cazier,Stamp Francisco,C
Anna Banana,Bill Gaglione,C
Harley,Bill Gaglione,C
Klaus Groh,Bill Gaglione,C
Luis Catriel,Bill Gaglione,C
Anna Banana,Bill Gaglione,C
Harley,John Held Jr.,C
Harley,Stamp Art Gallery,C
Klaus Groh,Bill Gaglione,C
Goran Dordevic,Bill Gaglione,C
Ruggero Maggi,Bill Gaglione,C
Ruggero Maggi,Anna Banana,C
Judith Lomax,Bill Gaglione,C
Judith Lomax,Stamp Art Gallery,C
Luis Catriel,Bill Gaglione,C
Anna Banana,Bill Gaglione,C
Harley,Bill Gaglione,C
Harley,Stamp Art Gallery,C
Anna Banana,Anna Banana,C
Harley,Darlene Domel,C
Harley,Bill Gaglione,C
Tapio Holopainen,John Held Jr.,C
Tapio Holopainen,Stamp Art Gallery,C
Mallory Moad,Bill Gaglione,C
Klaus Groh,Bill Gaglione,C
Klaus Groh,Bill Gaglione,C
Klaus Groh,Anna Banana,C
Anna Banana,Bill Gaglione,C
Anna Banana,Bill Gaglione,C
Luis Catriel,Bill Gaglione,C
Anna Banana,Bill Gaglione,C
Lawton Gallery,Darlene Domel,C
Lawton Gallery,Bill Gaglione,C
Fernand Barbot,Dorothy Harris,C
Luce Fierens,Bill Gaglione,C
Luce Fierens,John Held Jr.,C
Luce Fierens,Stamp Art Gallery,C
Anna Banana,John Rininger,C
Igor Durisin,Bill Gaglione,C
Igor Durisin,Stamp Art Gallery,C
Guy Bleus,Dorothy Harris,C
Chuck Welch,Bill Gaglione,C
